col1 plateifu objra objdec redshift date dateKY inttime cycle
0 7815-12705 318.99045 9.543076 0.029550342 20220904 20220904 120 2
2 7977-3704 332.79874 11.800733 0.027244592 20221113 20221113 120 3
3 7977-9101 331.1229 12.442626 0.026561614 20220907 20220907 120 3
4 7977-12705 332.89285 11.795929 0.027236486 20220907 20220906 120 1
5 8077-6104 42.032784 -0.75231594 0.046014007 20221113 20221113 180 2
55 8077-6104 42.032784 -0.75231594 0.046014007 20221118 20221118 180 2
6 8077-9101 41.643112 -0.8435374 0.043225907 20221113 20221113 120 4
9 8081-3704 49.82144 -0.9696313 0.05400365 20221111 20221111 180 4
11 8081-9101 47.772182 -0.5465378 0.028459735 20221113 20221113 120 4
13 8081-12703 50.39137 -0.17836772 0.025583312 20221113 20221113 120 4
19 8083-12702 50.245415 -0.367683 0.021039868 20221115 20221115 120 2
20 8084-3702 50.636642 -0.0012126936 0.022060545 20221117 20221117 180 3
21 8084-6103 50.741676 0.054137398 0.0359273 20221118 20221118 180 10
24 8155-6101 53.814114 -1.2286092 0.03740305 20221111 20221111 120 3
26 8156-3701 55.592297 -0.58319646 0.05272623 20221117 20221117 180 10
28 8241-3704 126.56891 17.362452 0.066172525 20221218 20221218 180 4
32 8615-12702 320.15945 1.0472772 0.020947456 20220913 20220913 120 3
36 8618-9102 319.27145 9.972303 0.043336984 20220906 20220906 180 10
39 8655-3701 356.75183 -0.4473874 0.0714895 20221113 20221113 180 3
40 8655-9102 358.22192 -0.38244736 0.04505034 20221006 20221006 180 10
42 8728-3701 57.699028 -7.0287867 0.028327141 20221111 20221111 120 4
46 9194-3702 47.029453 0.45620838 0.07453792 20221114 20221114 180 10
47 9195-3702 27.842783 13.060335 0.064339854 20221112 20221112 180 4
49 8153-12702 40.30402 -0.87703 0.038229585 20221111 20221111 180 10
51 8439-6102 142.77817 49.079746 0.034150727 20221222 20221222 180 10
52 8250-6104 140.41142 43.72615 0.04008309 20221222 20221222 180 4
